X,Y,FID,GEODB_OID,GEODB_SUBT,OBJECTID,ASSETID,OWNER,MAINTRESP,LOCATIONID,IMAGEPATH,BIKEPARKTY,NUMSPACES,NUMUNITS,BPLEVEL,BPSTYLE,FINISH,MOUNTING,COVERED,BPFUND,ROTATION
-122.672540720633023,45.524977217538968,2164,2519,BPRackST,2519,5220-0004083,PDXTRANS,PDXTRANS,BF28038, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.681269944325436,45.525282192843527,2165,2720,BPRackST,2720,5220-0003048,PDXTRANS,PDXTRANS,BF27197, ,5220,0,0, ,STAPLE, , , , ,180
-122.674789422351211,45.51941222973597,2166,2121,BPRackST,2121,5220-0000447,PDXTRANS,UNKNOWN,BF56173, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.683967358999297,45.509765893331121,2167,2022,BPRackST,2022,5220-0001127,PDXTRANS,UNKNOWN,BF60024, ,5220,0,0, ,STAPLE, , ,U, ,65
-122.67666106736786,45.523170432335505,2168,2321,BPRackST,2321,5220-0000771,PDXTRANS,PDXTRANS,BF67360, ,5220,2,0, ,STAPLE, , ,N, ,0
-122.684280659753398,45.528747546321149,2169,2823,BPRackST,2823,5220-0003149,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.677023855202364,45.520125985840906,2170,2622,BPRackST,2622,5220-0002953,PDXTRANS,PDXTRANS,BF66961, ,5220,2,0, ,STAPLE, , , , ,160
-122.658631318076388,45.559047149719682,2171,2223,BPRackST,2223,5220-0002921,PDXTRANS,PDXTRANS,BF17675, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.672541160179392,45.52492916840469,2172,2520,BPRackST,2520,5220-0004084,PDXTRANS,PDXTRANS,BF28038, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.679137023243953,45.532582419101509,2173,2721,BPRackST,2721,5220-0003051,PDXTRANS,PDXTRANS,BF30271, ,5220,0,0, ,STAPLE, , , , ,135
-122.675008203084175,45.519448181962602,2174,2122,BPRackST,2122,5220-0001963,PDXTRANS,PDXTRANS,BF56204, ,5220,0,0, ,STAPLE, , , , ,155
